freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.529e+01,8.583e+02,8.032e+01,9.539e+02
1.6,3.863e+01,5.721e+02,6.746e+01,6.782e+02
3.2,4.361e+01,1.379e+02,3.508e+01,2.166e+02
4.7,3.915e+01,4.954e+02,3.407e+01,5.686e+02
6.3,3.773e+01,1.410e+03,3.330e+01,1.481e+03
7.9,3.920e+01,2.260e+03,3.472e+01,2.334e+03
9.5,4.086e+01,3.128e+03,3.471e+01,3.204e+03
11.1,4.931e+01,4.177e+03,3.639e+01,4.263e+03
12.6,4.510e+01,5.578e+03,3.616e+01,5.659e+03
14.2,4.254e+01,7.313e+03,3.776e+01,7.393e+03
15.8,4.499e+01,8.565e+03,3.691e+01,8.647e+03
17.4,4.336e+01,1.048e+04,3.536e+01,1.056e+04
19.0,4.259e+01,1.355e+04,3.437e+01,1.363e+04
20.5,5.829e+01,1.696e+04,3.163e+01,1.705e+04
22.1,1.241e+02,2.088e+04,3.169e+01,2.104e+04
23.7,2.240e+02,2.469e+04,3.448e+01,2.495e+04
25.3,3.159e+02,2.877e+04,4.261e+01,2.913e+04
26.9,3.090e+02,3.124e+04,6.595e+01,3.162e+04
28.5,2.287e+02,2.989e+04,7.583e+01,3.019e+04
30.0,1.560e+02,2.720e+04,7.415e+01,2.743e+04
31.6,1.171e+02,2.715e+04,7.733e+01,2.734e+04
33.2,6.953e+01,2.968e+04,9.041e+01,2.984e+04
34.8,5.069e+01,3.430e+04,1.272e+02,3.447e+04
36.4,7.777e+01,3.859e+04,1.933e+02,3.886e+04
37.9,1.079e+02,4.257e+04,3.372e+02,4.302e+04
39.5,1.395e+02,4.887e+04,6.583e+02,4.967e+04
41.1,1.717e+02,5.860e+04,1.043e+03,5.982e+04
42.7,1.446e+02,6.052e+04,1.004e+03,6.167e+04
44.3,1.557e+02,6.498e+04,1.792e+03,6.693e+04
45.8,3.531e+02,7.974e+04,6.044e+03,8.614e+04
47.4,7.716e+02,9.658e+04,2.015e+04,1.175e+05
49.0,1.040e+03,1.053e+05,4.796e+04,1.543e+05
50.6,8.125e+02,1.053e+05,8.528e+04,1.914e+05
52.2,4.895e+02,1.013e+05,1.068e+05,2.086e+05
53.7,3.251e+02,1.036e+05,9.810e+04,2.021e+05
55.3,2.530e+02,1.193e+05,8.121e+04,2.007e+05
56.9,2.448e+02,1.405e+05,6.554e+04,2.063e+05
58.5,2.480e+02,1.696e+05,5.427e+04,2.241e+05
60.1,3.047e+02,2.158e+05,5.054e+04,2.667e+05
61.6,6.354e+02,2.763e+05,5.343e+04,3.303e+05
63.2,1.399e+03,3.550e+05,5.922e+04,4.157e+05
64.8,2.895e+03,4.602e+05,6.596e+04,5.290e+05
66.4,4.897e+03,5.881e+05,7.186e+04,6.649e+05
68.0,6.960e+03,7.178e+05,7.825e+04,8.030e+05
69.5,1.110e+04,9.407e+05,9.720e+04,1.049e+06
71.1,1.670e+04,1.223e+06,1.235e+05,1.364e+06
72.7,2.457e+04,1.615e+06,1.619e+05,1.801e+06
74.3,4.388e+04,2.596e+06,2.662e+05,2.906e+06
75.9,8.063e+04,4.500e+06,4.475e+05,5.028e+06
77.4,1.124e+05,6.292e+06,5.653e+05,6.970e+06
79.0,1.077e+05,6.396e+06,5.041e+05,7.008e+06
80.6,7.831e+04,5.317e+06,3.719e+05,5.768e+06
82.2,5.093e+04,4.002e+06,2.551e+05,4.308e+06
83.8,3.910e+04,3.145e+06,1.857e+05,3.370e+06
85.4,3.545e+04,2.673e+06,1.460e+05,2.854e+06
86.9,2.641e+04,2.232e+06,1.137e+05,2.372e+06
88.5,1.821e+04,1.883e+06,9.029e+04,1.992e+06
90.1,1.163e+04,1.601e+06,7.461e+04,1.687e+06
91.7,6.063e+03,1.363e+06,6.428e+04,1.434e+06
93.3,6.408e+03,1.226e+06,5.610e+04,1.289e+06
94.8,8.553e+03,1.119e+06,4.668e+04,1.174e+06
96.4,9.297e+03,1.012e+06,3.887e+04,1.060e+06
98.0,7.303e+03,9.269e+05,3.514e+04,9.693e+05
99.6,4.954e+03,8.459e+05,3.304e+04,8.839e+05
101.2,4.562e+03,7.597e+05,2.889e+04,7.932e+05
102.7,5.118e+03,6.783e+05,2.360e+04,7.070e+05
104.3,4.539e+03,5.651e+05,1.801e+04,5.876e+05
105.9,3.837e+03,4.701e+05,1.474e+04,4.887e+05
107.5,4.250e+03,4.529e+05,1.320e+04,4.704e+05
109.1,4.336e+03,4.495e+05,1.130e+04,4.651e+05
110.6,4.133e+03,4.480e+05,9.239e+03,4.613e+05
112.2,3.790e+03,4.482e+05,6.917e+03,4.589e+05
113.8,3.433e+03,4.451e+05,4.834e+03,4.534e+05
115.4,3.225e+03,4.456e+05,3.297e+03,4.521e+05
117.0,2.888e+03,4.402e+05,2.332e+03,4.454e+05
118.5,2.403e+03,4.329e+05,1.709e+03,4.370e+05
120.1,2.089e+03,4.206e+05,1.214e+03,4.239e+05
121.7,1.943e+03,4.050e+05,8.348e+02,4.078e+05
123.3,2.250e+03,3.919e+05,5.123e+02,3.947e+05
