freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.985e+00,7.916e+02,6.221e+01,8.638e+02
1.6,2.747e+01,4.931e+02,5.803e+01,5.786e+02
3.2,3.162e+01,7.523e+01,3.129e+01,1.381e+02
4.7,3.232e+01,4.239e+02,2.891e+01,4.851e+02
6.3,3.507e+01,1.323e+03,3.233e+01,1.390e+03
7.9,3.656e+01,2.151e+03,3.507e+01,2.222e+03
9.5,3.567e+01,3.101e+03,3.546e+01,3.172e+03
11.1,3.745e+01,4.274e+03,3.596e+01,4.347e+03
12.7,4.085e+01,5.446e+03,3.576e+01,5.522e+03
14.2,3.695e+01,6.947e+03,3.594e+01,7.020e+03
15.8,3.501e+01,8.861e+03,3.730e+01,8.933e+03
17.4,3.928e+01,1.066e+04,3.795e+01,1.074e+04
19.0,4.312e+01,1.336e+04,3.630e+01,1.344e+04
20.6,4.591e+01,1.668e+04,3.473e+01,1.676e+04
22.1,7.883e+01,2.001e+04,3.316e+01,2.012e+04
23.7,2.138e+02,2.421e+04,3.284e+01,2.446e+04
25.3,4.933e+02,2.804e+04,4.482e+01,2.858e+04
26.9,7.762e+02,3.107e+04,6.249e+01,3.191e+04
28.5,7.801e+02,3.373e+04,6.945e+01,3.458e+04
30.1,6.317e+02,3.509e+04,6.226e+01,3.578e+04
31.6,4.564e+02,3.492e+04,6.595e+01,3.545e+04
33.2,2.869e+02,3.505e+04,7.533e+01,3.541e+04
34.8,1.784e+02,3.822e+04,8.447e+01,3.849e+04
36.4,1.615e+02,4.395e+04,9.586e+01,4.421e+04
38.0,2.632e+02,5.071e+04,1.344e+02,5.111e+04
39.5,4.633e+02,5.828e+04,2.457e+02,5.899e+04
41.1,7.850e+02,7.196e+04,4.942e+02,7.324e+04
42.7,1.184e+03,8.487e+04,7.244e+02,8.678e+04
44.3,1.031e+03,9.056e+04,1.065e+03,9.266e+04
45.9,7.589e+02,1.076e+05,2.425e+03,1.108e+05
47.5,5.818e+02,1.318e+05,9.197e+03,1.416e+05
49.0,4.184e+02,1.393e+05,2.256e+04,1.622e+05
50.6,4.882e+02,1.413e+05,2.115e+04,1.629e+05
52.2,8.830e+02,1.505e+05,1.521e+04,1.666e+05
53.8,1.245e+03,1.661e+05,1.848e+04,1.858e+05
55.4,1.259e+03,1.868e+05,3.310e+04,2.211e+05
56.9,1.146e+03,2.003e+05,4.899e+04,2.504e+05
58.5,1.711e+03,2.228e+05,5.477e+04,2.793e+05
60.1,2.660e+03,2.693e+05,5.753e+04,3.294e+05
61.7,3.401e+03,3.312e+05,6.185e+04,3.965e+05
63.3,4.224e+03,4.037e+05,6.855e+04,4.765e+05
64.9,5.381e+03,4.838e+05,7.591e+04,5.651e+05
66.4,7.467e+03,5.602e+05,8.611e+04,6.538e+05
68.0,9.903e+03,6.404e+05,9.856e+04,7.488e+05
69.6,1.574e+04,8.488e+05,1.332e+05,9.978e+05
71.2,2.417e+04,1.277e+06,1.908e+05,1.492e+06
72.8,3.572e+04,2.205e+06,2.945e+05,2.535e+06
74.3,4.554e+04,3.549e+06,4.097e+05,4.004e+06
75.9,3.913e+04,4.172e+06,4.250e+05,4.636e+06
77.5,3.418e+04,3.906e+06,3.632e+05,4.303e+06
79.1,4.678e+04,3.434e+06,2.880e+05,3.769e+06
80.7,3.890e+04,2.925e+06,2.168e+05,3.181e+06
82.3,2.648e+04,2.447e+06,1.698e+05,2.643e+06
83.8,1.772e+04,2.109e+06,1.458e+05,2.272e+06
85.4,1.213e+04,1.973e+06,1.354e+05,2.120e+06
87.0,1.021e+04,1.784e+06,1.203e+05,1.915e+06
88.6,6.418e+03,1.577e+06,1.038e+05,1.687e+06
90.2,3.726e+03,1.411e+06,8.986e+04,1.505e+06
91.7,2.290e+03,1.267e+06,7.830e+04,1.347e+06
93.3,2.233e+03,1.139e+06,6.847e+04,1.209e+06
94.9,3.056e+03,1.031e+06,6.061e+04,1.095e+06
96.5,4.328e+03,9.406e+05,5.352e+04,9.984e+05
98.1,5.899e+03,8.582e+05,4.543e+04,9.095e+05
99.7,7.315e+03,7.810e+05,3.707e+04,8.253e+05
101.2,8.127e+03,7.159e+05,2.995e+04,7.540e+05
102.8,8.109e+03,6.504e+05,2.386e+04,6.824e+05
104.4,7.609e+03,5.663e+05,1.846e+04,5.924e+05
106.0,7.058e+03,4.991e+05,1.444e+04,5.206e+05
107.6,6.519e+03,4.725e+05,1.242e+04,4.915e+05
109.1,6.092e+03,4.472e+05,1.075e+04,4.640e+05
110.7,5.871e+03,4.194e+05,9.208e+03,4.345e+05
112.3,4.892e+03,3.966e+05,7.710e+03,4.092e+05
113.9,3.473e+03,3.787e+05,6.310e+03,3.885e+05
115.5,2.003e+03,3.663e+05,5.276e+03,3.735e+05
117.1,1.032e+03,3.591e+05,4.383e+03,3.645e+05
118.6,1.073e+03,3.551e+05,3.380e+03,3.595e+05
120.2,1.703e+03,3.517e+05,2.488e+03,3.559e+05
121.8,2.476e+03,3.468e+05,1.851e+03,3.511e+05
123.4,3.663e+03,3.385e+05,1.347e+03,3.435e+05
125.0,5.186e+03,3.296e+05,9.267e+02,3.357e+05
126.5,7.031e+03,3.218e+05,5.591e+02,3.294e+05
128.1,8.773e+03,3.130e+05,3.432e+02,3.221e+05
