freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.790e+01,6.489e+02,6.079e+01,7.276e+02
1.6,3.043e+01,4.156e+02,5.834e+01,5.044e+02
3.2,2.589e+01,7.599e+01,2.964e+01,1.315e+02
4.8,2.721e+01,4.438e+02,3.153e+01,5.026e+02
6.3,2.884e+01,1.302e+03,3.514e+01,1.366e+03
7.9,3.053e+01,2.067e+03,3.483e+01,2.133e+03
9.5,3.033e+01,3.037e+03,3.442e+01,3.101e+03
11.1,3.087e+01,4.185e+03,3.439e+01,4.250e+03
12.7,3.219e+01,5.338e+03,3.380e+01,5.404e+03
14.3,3.195e+01,6.834e+03,3.663e+01,6.902e+03
15.8,3.216e+01,8.592e+03,4.016e+01,8.664e+03
17.4,3.238e+01,1.046e+04,4.066e+01,1.053e+04
19.0,3.111e+01,1.322e+04,3.968e+01,1.329e+04
20.6,5.076e+01,1.659e+04,4.181e+01,1.668e+04
22.2,1.095e+02,1.999e+04,3.806e+01,2.014e+04
23.8,2.579e+02,2.448e+04,3.606e+01,2.477e+04
25.4,4.770e+02,2.941e+04,3.518e+01,2.992e+04
26.9,6.584e+02,3.266e+04,3.310e+01,3.335e+04
28.5,6.717e+02,3.556e+04,3.298e+01,3.626e+04
30.1,5.197e+02,3.936e+04,4.198e+01,3.992e+04
31.7,4.031e+02,4.206e+04,5.672e+01,4.252e+04
33.3,3.013e+02,4.191e+04,8.393e+01,4.230e+04
34.9,1.790e+02,4.207e+04,1.249e+02,4.237e+04
36.5,7.908e+01,4.498e+04,1.582e+02,4.522e+04
38.0,4.174e+01,4.932e+04,1.714e+02,4.953e+04
39.6,6.264e+01,5.584e+04,2.203e+02,5.612e+04
41.2,1.293e+02,6.983e+04,3.568e+02,7.032e+04
42.8,3.925e+02,8.551e+04,5.068e+02,8.640e+04
44.4,6.599e+02,9.347e+04,7.288e+02,9.486e+04
46.0,7.590e+02,1.094e+05,1.462e+03,1.116e+05
47.5,8.893e+02,1.339e+05,2.845e+03,1.376e+05
49.1,1.072e+03,1.596e+05,5.564e+03,1.662e+05
50.7,9.144e+02,1.823e+05,1.291e+04,1.961e+05
52.3,5.570e+02,1.944e+05,2.224e+04,2.172e+05
53.9,7.920e+02,2.267e+05,2.367e+04,2.512e+05
55.5,1.217e+03,2.622e+05,2.517e+04,2.886e+05
57.1,1.473e+03,2.716e+05,3.293e+04,3.060e+05
58.6,1.696e+03,2.775e+05,4.335e+04,3.226e+05
60.2,1.685e+03,3.066e+05,5.420e+04,3.625e+05
61.8,1.514e+03,3.692e+05,6.726e+04,4.379e+05
63.4,1.687e+03,4.490e+05,8.054e+04,5.312e+05
65.0,3.173e+03,5.400e+05,9.039e+04,6.335e+05
66.6,5.237e+03,6.349e+05,9.733e+04,7.375e+05
68.1,6.397e+03,7.453e+05,1.051e+05,8.568e+05
69.7,1.050e+04,1.004e+06,1.372e+05,1.152e+06
71.3,2.416e+04,1.458e+06,1.965e+05,1.679e+06
72.9,5.912e+04,2.190e+06,2.669e+05,2.516e+06
74.5,9.286e+04,2.670e+06,2.819e+05,3.045e+06
76.1,9.273e+04,2.738e+06,2.634e+05,3.094e+06
77.7,7.924e+04,2.475e+06,2.313e+05,2.786e+06
79.2,6.495e+04,2.062e+06,1.949e+05,2.322e+06
80.8,5.365e+04,1.706e+06,1.628e+05,1.923e+06
