freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.248e+02,8.723e+01,1.258e+01,6.246e+02
1.6,4.624e+02,3.549e+02,3.418e+01,8.515e+02
3.2,2.886e+02,3.983e+02,3.512e+01,7.221e+02
4.7,6.348e+02,3.979e+02,3.607e+01,1.069e+03
6.3,1.472e+03,3.860e+02,3.883e+01,1.897e+03
7.9,2.289e+03,4.155e+02,4.039e+01,2.745e+03
9.5,3.176e+03,4.619e+02,3.839e+01,3.676e+03
11.1,4.170e+03,4.479e+02,3.799e+01,4.656e+03
12.7,5.348e+03,4.255e+02,3.843e+01,5.812e+03
14.2,6.654e+03,4.395e+02,3.919e+01,7.133e+03
15.8,8.399e+03,4.426e+02,3.942e+01,8.881e+03
17.4,1.048e+04,4.481e+02,3.882e+01,1.096e+04
19.0,1.287e+04,4.682e+02,3.860e+01,1.338e+04
20.6,1.553e+04,5.390e+02,3.813e+01,1.610e+04
22.1,1.791e+04,6.202e+02,3.696e+01,1.857e+04
23.7,2.074e+04,6.927e+02,3.835e+01,2.147e+04
25.3,2.247e+04,7.031e+02,3.787e+01,2.321e+04
26.9,2.295e+04,5.949e+02,3.660e+01,2.359e+04
28.5,2.426e+04,4.954e+02,3.679e+01,2.480e+04
30.1,2.703e+04,4.597e+02,3.767e+01,2.753e+04
31.6,3.139e+04,4.530e+02,3.817e+01,3.188e+04
33.2,3.682e+04,4.369e+02,3.725e+01,3.730e+04
34.8,4.363e+04,4.382e+02,4.169e+01,4.411e+04
36.4,5.034e+04,4.290e+02,3.951e+01,5.080e+04
38.0,5.357e+04,5.013e+02,4.141e+01,5.411e+04
39.5,5.312e+04,5.840e+02,4.687e+01,5.375e+04
41.1,5.594e+04,5.637e+02,5.075e+01,5.656e+04
42.7,6.191e+04,7.413e+02,6.247e+01,6.271e+04
44.3,6.544e+04,9.346e+02,6.641e+01,6.644e+04
45.9,7.319e+04,1.024e+03,8.520e+01,7.430e+04
47.5,8.410e+04,1.131e+03,1.726e+02,8.540e+04
49.0,9.548e+04,1.280e+03,4.218e+02,9.719e+04
50.6,1.062e+05,1.199e+03,7.187e+02,1.081e+05
52.2,1.202e+05,1.148e+03,8.306e+02,1.221e+05
