freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.345e+02,1.082e+02,1.399e+01,4.567e+02
1.6,2.535e+02,5.139e+02,3.616e+01,8.036e+02
3.2,9.061e+01,5.748e+02,4.105e+01,7.064e+02
4.8,4.338e+02,4.335e+02,3.942e+01,9.067e+02
6.3,1.257e+03,4.947e+02,4.229e+01,1.794e+03
7.9,2.009e+03,5.169e+02,4.206e+01,2.568e+03
9.5,2.859e+03,5.397e+02,4.250e+01,3.441e+03
11.1,3.908e+03,5.460e+02,4.343e+01,4.497e+03
12.7,5.009e+03,5.544e+02,4.313e+01,5.606e+03
14.3,6.307e+03,5.795e+02,4.365e+01,6.931e+03
15.8,8.027e+03,5.363e+02,4.268e+01,8.606e+03
17.4,9.958e+03,4.703e+02,4.135e+01,1.047e+04
19.0,1.223e+04,5.322e+02,3.957e+01,1.280e+04
20.6,1.498e+04,6.257e+02,4.415e+01,1.565e+04
22.2,1.752e+04,6.913e+02,4.611e+01,1.826e+04
23.8,2.067e+04,7.319e+02,4.150e+01,2.144e+04
25.4,2.397e+04,7.467e+02,3.914e+01,2.476e+04
26.9,2.507e+04,7.640e+02,3.764e+01,2.587e+04
28.5,2.500e+04,7.987e+02,3.731e+01,2.584e+04
30.1,2.636e+04,7.883e+02,4.275e+01,2.719e+04
31.7,2.957e+04,7.694e+02,4.384e+01,3.038e+04
33.3,3.411e+04,7.209e+02,4.639e+01,3.488e+04
34.9,4.006e+04,7.041e+02,5.088e+01,4.081e+04
36.5,4.673e+04,6.241e+02,5.374e+01,4.741e+04
38.0,5.313e+04,6.534e+02,6.416e+01,5.385e+04
39.6,5.555e+04,7.501e+02,7.152e+01,5.637e+04
41.2,5.706e+04,7.315e+02,6.675e+01,5.786e+04
42.8,6.116e+04,8.269e+02,5.321e+01,6.204e+04
44.4,6.547e+04,8.565e+02,4.940e+01,6.637e+04
46.0,7.236e+04,7.856e+02,6.439e+01,7.321e+04
47.5,8.199e+04,7.695e+02,1.149e+02,8.287e+04
49.1,9.193e+04,8.487e+02,2.102e+02,9.299e+04
50.7,1.026e+05,7.567e+02,3.438e+02,1.037e+05
52.3,1.127e+05,7.363e+02,5.718e+02,1.140e+05
53.9,1.270e+05,6.766e+02,8.901e+02,1.286e+05
55.5,1.433e+05,5.767e+02,1.004e+03,1.449e+05
57.1,1.507e+05,6.027e+02,1.329e+03,1.527e+05
58.6,1.571e+05,6.307e+02,2.937e+03,1.606e+05
60.2,1.754e+05,8.757e+02,5.996e+03,1.823e+05
61.8,1.957e+05,1.080e+03,8.293e+03,2.051e+05
63.4,2.110e+05,1.257e+03,9.675e+03,2.219e+05
65.0,2.339e+05,1.528e+03,1.297e+04,2.484e+05
66.6,2.460e+05,1.676e+03,1.548e+04,2.631e+05
68.2,2.182e+05,1.461e+03,1.153e+04,2.312e+05
69.7,2.232e+05,1.594e+03,1.152e+04,2.364e+05
71.3,2.496e+05,2.213e+03,1.576e+04,2.676e+05
72.9,2.828e+05,2.757e+03,1.977e+04,3.053e+05
74.5,3.374e+05,3.203e+03,2.347e+04,3.641e+05
76.1,4.388e+05,3.751e+03,2.727e+04,4.698e+05
77.7,5.943e+05,4.439e+03,2.895e+04,6.277e+05
79.2,7.957e+05,5.792e+03,2.754e+04,8.290e+05
80.8,9.472e+05,6.480e+03,2.248e+04,9.761e+05
82.4,9.444e+05,7.503e+03,1.603e+04,9.680e+05
84.0,9.273e+05,7.700e+03,1.349e+04,9.485e+05
85.6,9.068e+05,6.285e+03,1.193e+04,9.250e+05
87.2,8.488e+05,4.678e+03,9.905e+03,8.634e+05
88.8,7.705e+05,3.802e+03,7.926e+03,7.822e+05
90.3,6.899e+05,3.481e+03,6.390e+03,6.998e+05
91.9,6.086e+05,2.754e+03,4.961e+03,6.163e+05
93.5,5.355e+05,2.224e+03,3.699e+03,5.414e+05
95.1,4.751e+05,2.138e+03,2.622e+03,4.799e+05
96.7,4.206e+05,2.291e+03,1.676e+03,4.246e+05
98.3,4.003e+05,5.790e+03,1.012e+03,4.071e+05
99.9,4.200e+05,1.377e+04,7.971e+02,4.346e+05
101.4,4.443e+05,2.231e+04,6.869e+02,4.673e+05
103.0,4.693e+05,2.476e+04,7.179e+02,4.948e+05
104.6,4.786e+05,1.644e+04,5.730e+02,4.956e+05
106.2,4.664e+05,9.182e+03,4.429e+02,4.761e+05
107.8,4.401e+05,6.703e+03,4.919e+02,4.473e+05
109.4,4.169e+05,5.101e+03,3.911e+02,4.224e+05
110.9,4.084e+05,5.184e+03,3.178e+02,4.139e+05
112.5,4.013e+05,8.683e+03,3.721e+02,4.104e+05
114.1,4.093e+05,1.403e+04,6.005e+02,4.240e+05
115.7,4.304e+05,1.646e+04,9.460e+02,4.478e+05
117.3,4.366e+05,1.435e+04,1.170e+03,4.522e+05
118.9,4.204e+05,1.101e+04,1.283e+03,4.327e+05
120.5,3.916e+05,8.197e+03,1.196e+03,4.010e+05
122.0,3.657e+05,6.982e+03,1.062e+03,3.737e+05
123.6,3.492e+05,6.316e+03,1.061e+03,3.566e+05
125.2,3.236e+05,5.175e+03,1.126e+03,3.299e+05
126.8,2.797e+05,5.081e+03,1.128e+03,2.859e+05
128.4,2.577e+05,7.103e+03,1.125e+03,2.659e+05
130.0,2.393e+05,8.705e+03,1.061e+03,2.491e+05
131.6,2.109e+05,8.073e+03,1.002e+03,2.200e+05
133.1,8.999e+04,3.953e+03,7.184e+02,9.466e+04
134.7,7.882e+03,1.496e+03,5.693e+02,9.948e+03
136.3,3.420e+03,1.468e+03,6.511e+02,5.539e+03
137.9,2.938e+03,1.571e+03,7.274e+02,5.236e+03
139.5,2.544e+03,1.293e+03,7.839e+02,4.621e+03
141.1,2.394e+03,1.059e+03,8.158e+02,4.269e+03
142.6,2.414e+03,1.061e+03,8.375e+02,4.312e+03
144.2,2.388e+03,1.134e+03,8.639e+02,4.386e+03
145.8,2.458e+03,1.523e+03,8.807e+02,4.862e+03
147.4,2.312e+03,1.294e+03,9.800e+02,4.585e+03
149.0,2.658e+03,3.304e+03,1.852e+03,7.814e+03
150.6,3.177e+03,5.730e+03,2.244e+03,1.115e+04
152.2,4.714e+03,1.053e+04,1.311e+03,1.655e+04
153.7,7.192e+03,2.535e+04,1.589e+03,3.413e+04
155.3,8.328e+03,3.364e+04,1.790e+03,4.376e+04
156.9,6.206e+03,2.380e+04,1.597e+03,3.161e+04
158.5,4.198e+03,1.352e+04,1.435e+03,1.915e+04
160.1,1.975e+03,4.077e+03,1.490e+03,7.541e+03
161.7,1.121e+03,1.003e+03,1.714e+03,3.838e+03
163.3,8.794e+02,7.807e+02,1.922e+03,3.582e+03
164.8,8.556e+02,7.286e+02,1.954e+03,3.538e+03
166.4,9.637e+02,9.906e+02,2.222e+03,4.177e+03
168.0,1.834e+03,3.860e+03,3.425e+03,9.119e+03
169.6,2.009e+03,4.128e+03,3.982e+03,1.012e+04
171.2,9.999e+02,1.096e+03,3.603e+03,5.699e+03
172.8,1.062e+03,8.321e+02,4.041e+03,5.935e+03
174.3,9.469e+02,7.844e+02,4.638e+03,6.370e+03
175.9,7.921e+02,7.965e+02,5.262e+03,6.851e+03
177.5,6.624e+02,8.280e+02,5.741e+03,7.231e+03
179.1,5.522e+02,8.915e+02,6.173e+03,7.616e+03
180.7,4.926e+02,8.622e+02,6.685e+03,8.040e+03
