freq,psd_x,psd_y,psd_z,psd_xyz
174.2,6.022e+02,3.911e+03,4.531e+02,4.966e+03
175.8,4.675e+02,3.814e+03,3.369e+02,4.619e+03
177.4,5.441e+02,3.443e+03,2.809e+02,4.268e+03
178.9,6.121e+02,3.105e+03,2.625e+02,3.979e+03
180.5,6.305e+02,2.793e+03,2.487e+02,3.672e+03
182.1,7.248e+02,2.476e+03,2.284e+02,3.429e+03
183.7,8.337e+02,2.188e+03,2.456e+02,3.267e+03
185.3,8.588e+02,1.938e+03,2.925e+02,3.089e+03
186.9,8.148e+02,1.847e+03,3.775e+02,3.040e+03
188.4,9.966e+02,1.737e+03,4.647e+02,3.199e+03
190.0,1.385e+03,1.635e+03,5.700e+02,3.590e+03
191.6,2.023e+03,1.573e+03,6.595e+02,4.256e+03
193.2,2.919e+03,1.504e+03,7.227e+02,5.146e+03
194.8,4.028e+03,1.528e+03,8.411e+02,6.396e+03
196.4,5.405e+03,1.565e+03,9.397e+02,7.910e+03
197.9,6.827e+03,1.655e+03,1.002e+03,9.484e+03
199.5,7.531e+03,1.811e+03,1.017e+03,1.036e+04
