freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.228e+02,1.061e+02,1.652e+01,5.454e+02
1.6,3.303e+02,5.725e+02,4.312e+01,9.459e+02
3.2,1.483e+02,6.026e+02,4.221e+01,7.931e+02
4.8,5.297e+02,5.525e+02,4.133e+01,1.124e+03
6.3,1.361e+03,5.568e+02,3.871e+01,1.956e+03
7.9,2.101e+03,6.007e+02,3.889e+01,2.741e+03
9.5,2.937e+03,6.092e+02,3.706e+01,3.583e+03
11.1,4.067e+03,5.743e+02,3.776e+01,4.679e+03
12.7,5.230e+03,5.498e+02,4.010e+01,5.820e+03
14.3,6.531e+03,5.878e+02,4.307e+01,7.162e+03
15.8,8.346e+03,6.191e+02,4.147e+01,9.006e+03
17.4,1.045e+04,5.960e+02,3.966e+01,1.109e+04
19.0,1.283e+04,5.639e+02,3.795e+01,1.343e+04
20.6,1.544e+04,5.801e+02,3.921e+01,1.606e+04
22.2,1.802e+04,6.210e+02,4.152e+01,1.868e+04
23.8,2.094e+04,6.985e+02,4.037e+01,2.168e+04
25.3,2.329e+04,7.409e+02,3.828e+01,2.407e+04
26.9,2.420e+04,8.388e+02,3.644e+01,2.508e+04
28.5,2.483e+04,7.971e+02,3.682e+01,2.567e+04
30.1,2.640e+04,7.292e+02,4.100e+01,2.717e+04
31.7,2.997e+04,7.155e+02,4.172e+01,3.073e+04
33.3,3.485e+04,6.688e+02,4.023e+01,3.556e+04
34.8,4.121e+04,5.758e+02,4.195e+01,4.183e+04
36.4,4.871e+04,6.322e+02,4.095e+01,4.938e+04
38.0,5.516e+04,7.338e+02,4.318e+01,5.593e+04
39.6,5.700e+04,7.357e+02,4.282e+01,5.778e+04
41.2,5.889e+04,7.380e+02,4.808e+01,5.968e+04
42.8,6.462e+04,7.612e+02,5.693e+01,6.544e+04
44.3,7.011e+04,8.430e+02,6.711e+01,7.102e+04
45.9,7.847e+04,8.012e+02,7.490e+01,7.935e+04
47.5,9.160e+04,7.525e+02,1.252e+02,9.248e+04
49.1,1.029e+05,6.765e+02,2.333e+02,1.038e+05
50.7,1.086e+05,6.366e+02,3.614e+02,1.096e+05
52.3,1.226e+05,6.386e+02,6.218e+02,1.238e+05
53.8,1.451e+05,6.151e+02,9.947e+02,1.467e+05
55.4,1.682e+05,6.460e+02,2.015e+03,1.708e+05
57.0,1.843e+05,6.605e+02,4.545e+03,1.895e+05
58.6,2.129e+05,7.685e+02,9.380e+03,2.230e+05
60.2,2.679e+05,1.116e+03,1.633e+04,2.853e+05
61.8,3.148e+05,1.703e+03,2.305e+04,3.396e+05
63.3,3.340e+05,2.305e+03,2.762e+04,3.639e+05
64.9,3.232e+05,2.431e+03,2.798e+04,3.536e+05
66.5,2.954e+05,2.132e+03,2.286e+04,3.204e+05
68.1,2.786e+05,1.732e+03,1.659e+04,2.969e+05
69.7,3.252e+05,1.742e+03,1.437e+04,3.413e+05
71.3,4.339e+05,2.064e+03,1.378e+04,4.497e+05
72.8,6.190e+05,2.742e+03,1.290e+04,6.346e+05
74.4,8.720e+05,3.489e+03,1.176e+04,8.872e+05
76.0,1.227e+06,4.124e+03,1.134e+04,1.242e+06
77.6,1.648e+06,4.616e+03,1.226e+04,1.665e+06
79.2,1.850e+06,5.004e+03,1.249e+04,1.868e+06
80.8,1.836e+06,6.677e+03,1.093e+04,1.854e+06
82.3,1.554e+06,8.666e+03,7.756e+03,1.571e+06
83.9,1.305e+06,6.292e+03,6.566e+03,1.318e+06
85.5,1.110e+06,3.917e+03,5.776e+03,1.119e+06
87.1,9.315e+05,3.316e+03,4.947e+03,9.398e+05
88.7,7.785e+05,2.836e+03,4.094e+03,7.854e+05
90.3,6.523e+05,2.515e+03,3.364e+03,6.581e+05
91.8,5.478e+05,2.497e+03,2.628e+03,5.529e+05
93.4,4.669e+05,2.593e+03,1.793e+03,4.713e+05
95.0,4.119e+05,2.974e+03,1.148e+03,4.160e+05
96.6,3.790e+05,4.361e+03,6.338e+02,3.840e+05
98.2,3.839e+05,9.363e+03,4.432e+02,3.937e+05
99.8,4.640e+05,1.675e+04,3.740e+02,4.811e+05
101.3,5.685e+05,2.161e+04,4.262e+02,5.906e+05
102.9,6.353e+05,2.103e+04,6.598e+02,6.570e+05
104.5,6.185e+05,1.642e+04,8.968e+02,6.358e+05
106.1,5.811e+05,1.237e+04,9.467e+02,5.944e+05
107.7,5.804e+05,1.034e+04,8.128e+02,5.916e+05
109.3,5.741e+05,8.869e+03,6.009e+02,5.836e+05
110.8,5.631e+05,9.234e+03,5.244e+02,5.728e+05
112.4,5.498e+05,1.177e+04,5.519e+02,5.621e+05
114.0,5.427e+05,1.303e+04,6.484e+02,5.564e+05
115.6,5.335e+05,1.100e+04,7.829e+02,5.453e+05
117.2,5.126e+05,7.858e+03,8.631e+02,5.213e+05
118.8,4.836e+05,5.234e+03,8.846e+02,4.897e+05
120.3,4.462e+05,4.163e+03,8.090e+02,4.511e+05
121.9,4.081e+05,3.623e+03,7.492e+02,4.125e+05
123.5,3.730e+05,3.658e+03,7.623e+02,3.774e+05
125.1,3.423e+05,3.863e+03,7.369e+02,3.469e+05
126.7,3.172e+05,3.824e+03,7.515e+02,3.218e+05
128.3,2.981e+05,3.623e+03,8.896e+02,3.026e+05
129.8,2.777e+05,3.319e+03,1.048e+03,2.820e+05
131.4,2.468e+05,3.009e+03,1.172e+03,2.509e+05
133.0,1.250e+05,2.156e+03,7.325e+02,1.279e+05
134.6,1.303e+04,1.320e+03,2.420e+02,1.460e+04
136.2,3.144e+03,1.288e+03,2.187e+02,4.651e+03
137.8,2.631e+03,1.399e+03,2.301e+02,4.260e+03
139.3,2.179e+03,1.523e+03,2.504e+02,3.952e+03
140.9,1.936e+03,1.508e+03,2.770e+02,3.721e+03
142.5,1.837e+03,1.631e+03,2.927e+02,3.761e+03
144.1,1.631e+03,1.475e+03,2.906e+02,3.396e+03
145.7,1.566e+03,1.210e+03,3.713e+02,3.147e+03
147.3,1.620e+03,1.363e+03,5.484e+02,3.531e+03
148.8,2.499e+03,4.211e+03,1.552e+03,8.262e+03
150.4,5.429e+03,1.229e+04,2.555e+03,2.027e+04
152.0,6.639e+03,2.479e+04,1.590e+03,3.302e+04
